Frame,A,B,C,D,E,F,G,H,I,J,K,L
225,149.628,163.529,119.748,114.422,90,90,95.7695,98.707,145.031,142.628,114.365,115.365,
226,150.398,167.647,118.33,116.506,90,90,96.4794,97.2433,145.595,142.789,113.642,114.821,
227,153.098,167.471,118.746,116.841,90,90,95.6334,97.3694,144.688,142.181,113.842,114.866,
228,155.523,169.134,119.588,115.726,90,90,95.9103,98.2403,143.44,140.749,113.398,114.496,
229,154.567,167.91,120.429,115.361,90,90,95.0716,99.3334,144.545,141.749,113.66,114.674,
230,153.877,167.289,119.789,114.543,90,90,96.3522,98.7445,143.524,142.013,113.889,114.489,
231,154.135,167.013,119.449,114.092,90,90,96.9869,97.8824,143.246,142.125,113.72,114.257,
232,154.479,167.087,119.279,114.057,90,90,95.856,97.6137,143.573,142.184,113.734,114.366,
233,151.67,157.642,119.73,113.384,90,90,93.2796,96.0144,147.483,144.303,113.977,115.046,
234,152.626,168.653,123.787,125.163,90,90,92.4588,95.3232,150.101,149.934,118.656,119.192,
235,152.303,169.085,123.506,124.867,90,90,93.6079,93.8561,148.565,148.96,118.045,118.448,
236,146.091,156.054,123.07,120.957,90,90,92.489,94.6736,146.86,145.904,115.706,116.455,
237,151.312,156.758,118.251,120.891,90,90,93.2456,94.3529,144.456,141.75,114.661,115.985,
238,151.164,156.757,118.346,120.964,90,90,93.2484,94.3988,144.343,141.712,114.666,115.98,
239,150.949,156.724,118.668,121.085,90,90,93.2453,94.6809,144.208,141.655,114.673,115.976,
240,150.919,156.717,118.713,121.098,90,90,93.244,94.7035,144.19,141.648,114.674,115.975,
241,151.711,165.8,120.544,119.844,90,90,94.3436,95.2093,148.432,146.544,117.724,118.758,
242,150.397,165.915,122.222,119.921,90,90,93.027,95.901,149.78,148.35,118.285,119.029,
243,149.472,165.788,123.09,119.742,90,90,93.25,95.7435,150.362,149.348,118.464,118.918,
244,149.468,165.705,122.973,119.723,90,90,93.2087,95.7986,150.377,149.335,118.461,118.911,
245,150.334,165.53,122.151,119.549,90,90,92.8885,95.9805,149.034,149.082,118.611,118.562,
246,150.935,165.436,121.913,119.436,90,90,93.028,95.5911,148.122,148.559,118.382,118.272,
247,151.285,165.638,121.65,119.361,90,90,92.6981,95.1582,146.667,147.85,118.28,117.747,
248,151.288,165.65,121.643,119.361,90,90,92.6982,95.1567,146.673,147.849,118.278,117.745,
249,149.58,167.863,119.873,118.507,90,90,93.084,94.4557,147.407,148.246,118.482,117.789,
250,148.033,165.697,121.681,120.255,90,90,91.5729,94.7088,149.146,149,118.62,118.296,
251,148.04,165.699,121.684,120.254,90,90,91.5839,94.709,149.154,149.006,118.62,118.296,
252,148.442,164.607,121.516,120.107,90,90,91.6121,94.5225,150.582,150.085,118.715,118.559,
253,148.445,164.611,121.515,120.107,90,90,91.616,94.5233,150.584,150.086,118.715,118.559,
254,148.542,164.777,121.375,120.096,90,90,91.8104,94.4932,150.666,150.187,118.702,118.54,
