Frame,A,B,C,D,E,F,G,H,I,J,K,L
149,155.293,154.853,117.362,118.398,89.9032,90.0969,95.8789,93.4322,158.335,173.247,105.002,105.137,
150,155.292,154.857,117.361,118.397,89.9034,90.0966,95.8829,93.4327,158.337,173.245,105.002,105.137,
151,155.268,154.874,117.359,118.414,89.9008,90.0992,95.8662,93.4262,158.298,173.242,105.002,105.137,
152,155.267,154.875,117.359,118.414,89.9007,90.0993,95.8655,93.426,158.297,173.243,105.002,105.137,
153,155.233,154.891,117.354,118.396,89.9053,90.0947,95.9005,93.4244,158.331,173.255,105.009,105.139,
154,155.22,154.911,117.353,118.412,89.9034,90.0966,95.8868,93.4209,158.303,173.254,105.009,105.139,
155,155.216,154.911,117.353,118.413,89.9031,90.0969,95.8856,93.4201,158.297,173.252,105.009,105.139,
156,155.213,154.915,117.352,118.417,89.9024,90.0976,95.8804,93.4205,158.287,173.248,105.009,105.139,
157,155.712,154.624,116.555,117.975,89.8821,90.1179,96.6407,93.7053,161.706,174.895,107.751,108.005,
158,156.11,154.198,116.19,117.707,89.9027,90.0973,96.8417,94.1296,161.806,173.965,107.863,108.249,
159,156.125,154.212,116.195,117.713,89.9022,90.0978,96.8437,94.1348,161.793,173.955,107.861,108.248,
160,156.129,154.219,116.197,117.714,89.9021,90.0979,96.845,94.1402,161.789,173.951,107.859,108.247,
161,156.126,154.223,116.196,117.713,89.9026,90.0974,96.8479,94.1445,161.793,173.948,107.859,108.246,
162,156.126,154.224,116.196,117.713,89.9026,90.0974,96.848,94.1449,161.793,173.948,107.859,108.246,
163,156.126,154.224,116.196,117.713,89.9026,90.0974,96.848,94.1449,161.793,173.948,107.859,108.246,
164,156.126,154.224,116.196,117.713,89.9026,90.0974,96.848,94.1449,161.793,173.948,107.859,108.246,
165,156.124,154.225,116.195,117.713,89.9028,90.0972,96.8506,94.1448,161.794,173.949,107.858,108.246,
166,155.825,154.504,116.286,117.689,89.8881,90.1119,96.763,94.2218,161.398,173.572,108.077,108.038,
167,155.947,154.894,116.379,117.67,89.8843,90.1156,96.8945,94.3091,160.999,173.393,107.941,107.826,
168,155.958,155.254,116.444,117.372,89.8888,90.1112,97.0401,94.6704,160.29,170.92,107.897,107.73,
169,155.973,155.233,116.453,117.381,89.8875,90.1125,97.0276,94.6762,160.283,170.938,107.9,107.736,
170,155.704,154.844,116.608,117.54,89.8876,90.1124,96.8564,94.6068,160.21,170.879,107.601,107.567,
171,155.67,154.842,116.591,117.52,89.8922,90.1078,96.8927,94.5829,160.267,170.911,107.611,107.566,
172,155.67,154.843,116.591,117.52,89.8921,90.1079,96.8926,94.5828,160.266,170.91,107.611,107.566,
173,155.67,154.843,116.591,117.52,89.8921,90.1079,96.8926,94.5828,160.267,170.91,107.611,107.566,
174,155.67,154.843,116.591,117.52,89.8921,90.1079,96.8927,94.5828,160.267,170.91,107.611,107.566,
175,155.737,154.782,116.529,117.609,89.8991,90.1009,96.7434,94.835,157.911,168.27,106.794,106.482,
176,155.675,154.753,116.517,117.584,89.9064,90.0935,96.7717,94.8248,157.998,168.298,106.819,106.505,
177,154.852,152.535,117.836,120.24,89.9402,90.0599,94.8952,94.3003,156.197,166.642,106.864,102.295,
178,155.399,152.266,120.549,117.52,89.9987,90.0013,92.8221,92.7779,150.969,158.36,100.707,101.686,
179,160.566,146.901,117.79,120.716,90.046,89.954,91.8534,89.45,160.581,152.813,101.828,105.725,
180,155.523,148.334,126.302,121.359,90,90,94.9311,88.1076,139.028,150.694,101.694,104.532,
181,150.548,149.467,134.298,122.268,90,90,96.6191,88.2247,127.929,147.899,95.4087,98.1189,
182,150.562,149.503,134.136,122.268,90,90,96.6042,88.2384,127.862,147.873,95.4258,98.1215,
183,159.881,147.978,131.978,121.804,90,90,92.4843,88.2889,131.246,148.011,92.6627,96.8994,
184,163.828,147.85,129.906,118.97,90,90,92.0105,88.8222,129.628,145.483,93.0237,96.9668,
185,147.945,145.635,120.635,120.662,90,90,89.9519,90.1322,173.133,172.777,107.877,108.836,
186,151.351,149.691,117.283,115.824,90,90,90.249,91.8332,156.106,160.265,103.006,102.533,
187,151.403,150.043,117.348,115.591,90,90,90.7793,91.5123,155.765,158.593,102.852,102.255,
188,154.788,154.806,117.455,115.597,90,90,91.3117,93.5268,156.374,153.977,100.379,100.934,
189,152.685,154.65,118.226,116.912,90,90,92.8796,93.9694,162.119,170.387,103.196,103.012,
190,153.547,156.119,118.39,116.451,90,90,93.2483,93.8492,163.487,175.025,104.564,103.769,
191,153.583,156.12,118.391,116.448,90,90,93.2513,93.8503,163.494,175.024,104.559,103.767,
192,153.583,156.12,118.391,116.448,90,90,93.2513,93.8504,163.494,175.023,104.559,103.767,
193,154.028,154.902,119.035,116.443,90,90,93.4652,92.8979,165.296,178.908,104.893,103.77,
194,154.129,154.928,119.041,116.442,90,90,93.4744,92.9036,165.323,178.908,104.886,103.767,
195,154.304,154.979,119.037,116.442,90,90,93.4886,92.9168,165.372,178.916,104.869,103.761,
196,154.308,154.979,119.037,116.442,90,90,93.4888,92.917,165.373,178.916,104.868,103.76,
197,154.308,154.979,119.037,116.442,90,90,93.4888,92.917,165.373,178.916,104.868,103.76,
198,154.308,154.979,119.037,116.442,90,90,93.4888,92.917,165.373,178.916,104.868,103.76,
199,154.308,154.979,119.037,116.442,90,90,93.4888,92.917,165.373,178.916,104.868,103.76,
200,154.5,154.988,119.055,116.434,90,90,93.5043,92.9352,165.437,178.929,104.846,103.751,
201,153.124,156.516,119.473,116.663,90,90,93.5992,92.6292,164.045,179.952,104.186,103.185,
202,153.125,156.516,119.473,116.663,90,90,93.5992,92.6292,164.045,179.952,104.186,103.185,
203,153.126,156.516,119.473,116.663,90,90,93.5993,92.6292,164.045,179.952,104.186,103.185,
204,153.259,156.523,119.487,116.664,90,90,93.6003,92.6318,164.052,179.952,104.182,103.183,
205,153.267,156.523,119.488,116.664,90,90,93.6004,92.632,164.053,179.952,104.182,103.183,
206,153.268,156.523,119.488,116.664,90,90,93.6004,92.6321,164.053,179.952,104.181,103.183,
207,153.268,156.523,119.488,116.664,90,90,93.6004,92.6321,164.053,179.952,104.181,103.183,
208,153.268,156.523,119.488,116.664,90,90,93.6004,92.6321,164.053,179.952,104.181,103.183,
209,153.381,156.495,119.501,116.659,90,90,93.6059,92.6374,164.073,179.948,104.17,103.179,
210,153.383,156.495,119.502,116.659,90,90,93.6059,92.6375,164.073,179.948,104.17,103.179,
211,153.383,156.495,119.502,116.659,90,90,93.6059,92.6375,164.073,179.948,104.17,103.179,
212,153.383,156.495,119.502,116.659,90,90,93.6059,92.6375,164.073,179.948,104.17,103.179,
213,153.383,156.495,119.502,116.659,90,90,93.6059,92.6375,164.073,179.948,104.17,103.179,
214,153.425,156.449,119.508,116.657,90,90,93.615,92.6383,164.088,179.926,104.159,103.176,
215,153.427,156.447,119.508,116.657,90,90,93.6154,92.6383,164.088,179.925,104.159,103.176,
216,153.427,156.447,119.508,116.657,90,90,93.6155,92.6383,164.089,179.925,104.159,103.176,
217,153.446,156.412,119.519,116.653,90,90,93.624,92.6405,164.103,179.901,104.15,103.175,
218,153.447,156.412,119.519,116.653,90,90,93.6244,92.6407,164.104,179.899,104.15,103.175,
219,153.447,156.412,119.519,116.653,90,90,93.6244,92.6407,164.104,179.899,104.15,103.175,
220,153.447,156.412,119.519,116.653,90,90,93.6244,92.6407,164.104,179.899,104.15,103.175,
221,156.362,157.899,118.934,115.472,90,90,93.9517,94.1844,164.651,174.299,104.3,103.09,
222,156.373,157.898,118.935,115.473,90,90,93.9525,94.1847,164.651,174.301,104.3,103.09,
223,153.676,155.396,118.575,114.183,90,90,95.6927,93.1662,163.094,172.874,105.429,104.618,
224,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
225,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
226,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
227,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
228,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
229,153.68,155.396,118.576,114.183,90,90,95.6929,93.1663,163.095,172.874,105.428,104.618,
230,153.798,155.391,118.589,114.184,90,90,95.6958,93.1716,163.116,172.863,105.417,104.616,
231,153.88,155.387,118.598,114.186,90,90,95.6949,93.1749,163.127,172.838,105.402,104.612,
232,154.882,155.45,116.165,112.827,90,90,96.2515,95.06,155.337,165.719,106.034,105.649,
